=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     featureVectorsDumpCaraotaDigitalCNNELaPatilla_cluster_density-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster2:y,cluster1:n-weka.filters.unsupervised.attribute.SortLabels-Rfirst-last-SNON-CASE-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst
Instances:    3000
Attributes:   11
              tweet_id
              hashtags
              mentions
              uppercase
              nonalpha
              urls
              len
              numbers
              favorite_count
              retweet_count
              cluster
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 1.75 seconds

=== Predictions on test split ===

inst#,actual,predicted,error,prediction
870,2:y,1:n,+,0.648
871,1:n,1:n,,0.743
872,2:y,2:y,,0.72
873,1:n,1:n,,0.576
874,1:n,1:n,,0.746
875,2:y,2:y,,0.644
876,2:y,2:y,,0.662
877,2:y,2:y,,0.578
878,1:n,1:n,,0.753
879,1:n,1:n,,0.752
880,2:y,1:n,+,0.665
881,2:y,2:y,,0.696
882,2:y,2:y,,0.685
883,2:y,2:y,,0.704
884,1:n,1:n,,0.549
885,1:n,1:n,,0.746
886,1:n,1:n,,0.522
887,2:y,2:y,,0.526
888,2:y,2:y,,0.557
889,2:y,2:y,,0.686
890,1:n,1:n,,0.743
891,1:n,1:n,,0.58
892,2:y,2:y,,0.628
893,1:n,1:n,,0.743
894,1:n,1:n,,0.585
895,1:n,1:n,,0.751
896,2:y,2:y,,0.573
897,1:n,1:n,,0.746
898,2:y,2:y,,0.701
899,2:y,2:y,,0.556
900,1:n,1:n,,0.749

=== Evaluation on test split ===

Time taken to test model on test split: 0.15 seconds

=== Summary ===

Correctly Classified Instances         845               93.8889 %
Incorrectly Classified Instances        55                6.1111 %
Kappa statistic                          0.8763
Mean absolute error                      0.3254
Root mean squared error                  0.3383
Relative absolute error                 65.7234 %
Root relative squared error             67.5981 %
Total Number of Instances              900     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0,996    0,126    0,900      0,996    0,946      0,882    0,994     0,995     n
                 0,874    0,004    0,995      0,874    0,930      0,882    0,994     0,994     y
Weighted Avg.    0,939    0,069    0,944      0,939    0,938      0,882    0,994     0,994     

=== Confusion Matrix ===

   a   b   <-- classified as
 478   2 |   a = n
  53 367 |   b = y

